Enabled;Name;Short desc.;Categories;Price;Images URL
1;Kurs Funkcje Szkoła Średnia;"
	Kurs Funkcje Szkoła Średnia jest multimedialnym kursem edukacyjnym dla uczniów szkół średnich, podzielonym tematycznie na 12 Lekcji.
Autorką Kursu jest Anna Zalewska.
Zawiera prawie 32 godziny nagrań video, na których pani Ania powoli i od podstaw tłumaczy i pokazuje jak rozwiązywać zadania, a także 140 pytań testowych sprawdzających wiedzę i 689 przykładów do zadań domowych.
";8,11;39,00 PLN;https://etrapez.pl/wp-content/uploads/2017/10/szkola-srednia-funkcje.jpg
1;Kurs Rekurencje, Notacja O, Grupy i Pierścienie (wybrane zagadnienia);"
	Kurs Rekurencje, Notacja O, Grupy i Pierścienie (wybrane zagadnienia) jest multimedialnym kursem edukacyjnym, wydzielonym z dawnego Kursu Matematyki Dyskretnej. Podzielony jest tematycznie na 7 Lekcji.
Zawiera łącznie około 520 minut nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 70 pytań testowych sprawdzających wiedzę i 213 przykładów do zadań domowych.
";3,7;39,00 PLN;https://etrapez.pl/wp-content/uploads/2020/09/6.png
1;Kurs Grafy (wybrane zagadnienia);"
	Kurs Grafy (wybrane zagadnienia) jest multimedialnym kursem edukacyjnym, wydzielonym z dawnego Kursu Matematyki Dyskretnej. Podzielony jest tematycznie na 6 Lekcji.
Zawiera łącznie około 370 minut nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 60 pytań testowych sprawdzających wiedzę i 105 przykładów do zadań domowych.
";3,7;39,00 PLN;https://etrapez.pl/wp-content/uploads/2020/09/studia-grafy-wybrane-zagadnienia-scaled.jpg
1;Wszystkie Kursy eTrapez na Studia;"
	Paczka wszystkich 19 kompletnych Kursów eTrapez do studiów.
Autorem 18 Kursów jest Krystian Karczyński, a Kursu do ekonometrii Joanna Grochowska. Po zakupie otrzymasz na maila linki do ściągnięcia wszystkich Kursów.
";3;149,00 PLN;https://etrapez.pl/wp-content/uploads/2019/06/wszystkie-kursy-dla-studentow-19-min-scaled.jpg
1;Kurs Matura Rozszerzona Część 3;"
	Kurs Matura Rozszerzona Część 3 jest multimedialnym kursem edukacyjnym dla maturzystów, podzielonym tematycznie na 3 Lekcje.
Autorką Kursu jest Anna Zalewska.
Zawiera ponad 12 godzin nagrań video, na których Ania powoli i od podstaw tłumaczy jak rozwiązywać zadania, a także 42 zadania zamknięte, 18 kodowanych i 60 zadań otwartych.
W Kursie przerabiane są testy i zadania maturalne na poziomie rozszerzonym.
";8,10;39,00 PLN;https://etrapez.pl/wp-content/uploads/2019/11/szkola-srednia-matura-rozszerzona-czesc-3.jpg
1;Wszystkie Kursy eTrapez;"
	Paczka wszystkich 25 kompletnych Kursów eTrapez, łącznie z najnowszym Kursem Rekurencje, Notacja O, Grupy i Pierścienie (wybrane zagadnienia). Po zakupie otrzymasz na maila linki do ściągnięcia wszystkich Kursów.
";8;169,00 PLN;https://etrapez.pl/wp-content/uploads/2019/06/wszystkie-kursy-etrapez-25-min-scaled.jpg
1;Kurs Całki Nieoznaczone;"
	Kurs Całki Nieoznaczone jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 7 Lekcji.
Zawiera łącznie 360 minut nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 70 pytań testowych sprawdzających wiedzę i około 140 przykładów do zadań domowych.
";3,6;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/studia-calki-nieoznaczone.jpg
1;Kurs Całki Wielokrotne;"
	Kurs Całek Wielokrotnych jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 5 Lekcji. Zawiera łącznie 720 minut nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 50 pytań testowych sprawdzających wiedzę i mnóstwo przykładów do zadań domowych.
";3,6;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/studia-calki-wielokrotne.jpg
1;Kurs Szeregi;"
	Kurs Szeregi jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 10 Lekcji. Zawiera łącznie 14 godzin nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 94 pytań testowych sprawdzających wiedzę i 155 przykładów do zadań domowych.
";3,6;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/studia-szeregi.jpg
1;Kurs Funkcje Wielu Zmiennych;"
	Kurs Funkcje Wielu Zmiennych jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 9 Lekcji. Zawiera łącznie 580 minut nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 88 pytań testowych sprawdzających wiedzę i 123 przykładów do zadań domowych.
";3,6;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/studia-funkcje-wielu-zmiennych.jpg
1;Kurs Liczby Zespolone;"
	Kurs Liczb Zespolonych jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 8 Lekcji.
Zawiera łącznie 270 minut nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 80 pytań testowych sprawdzających wiedzę i około 75 przykładów do zadań domowych.
";3,5;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/4.png
1;Kurs Całki Oznaczone, Niewłaściwe i Zastosowania Całek;"
	Kurs Całki Oznaczone, Niewłaściwe i Zastosowania Całek jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 6 Lekcji.
Zawiera łącznie 400 minut nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 60 pytań testowych sprawdzających wiedzę i około 100 przykładów do zadań domowych.
";3,6;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/2.png
1;Kurs Geometria Analityczna;"
	Kurs Geometrii Analitycznej jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 5 Lekcji.
Zawiera łącznie 460 minut nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 50 pytań testowych sprawdzających wiedzę i około 90 przykładów do zadań domowych.
";3,5;39,00 PLN;https://etrapez.pl/wp-content/uploads/2016/07/studia-geometria-analityczna.jpg
1;Kurs Zbiory;"
	Kurs Zbiory jest multimedialnym kursem edukacyjnym, podzielonym tematycznie na 5 Lekcji.
Zawiera ponad 7 godzin nagrań video, na których powoli i od podstaw tłumaczę i pokazuję jak rozwiązywać zadania, a także 50 pytań testowych sprawdzających wiedzę i 170 przykładów do zadań domowych.
";3,7;39,00 PLN;https://etrapez.pl/wp-content/uploads/2017/05/7.png
1;Kurs Matura Podstawowa Część 1;"
	Kurs Matura Podstawowa Część 1 jest multimedialnym kursem edukacyjnym dla maturzystów, podzielonym tematycznie na 5 Lekcji. Autorką Kursu jest Anna Zalewska.
Zawiera prawie 21 godzin nagrań video, na których pani Ania powoli i od podstaw tłumaczy i pokazuje jak rozwiązywać zadania, a także 100 pytań testowych sprawdzających wiedzę i 100 zadań otwartych.
W Kursie przerabiane są testy i zadania maturalne na poziomie podstawowym.
";8,9;39,00 PLN;https://etrapez.pl/wp-content/uploads/2018/02/szkola-srednia-matura-podstawowa-czesc-1.jpg
1;Wszystkie Kursy eTrapez do Szkoły Średniej;"
	Paczka wszystkich 6 kompletnych Kursów eTrapez do Szkoły Średniej, łącznie z najnowszym Kursem Matura Rozszerzona Część 3. Autorką Kursów jest Anna Zalewska. Po zakupie otrzymasz na maila linki do ściągnięcia wszystkich Kursów.
Pracujemy obecnie nad kolejnym Kursem: z Planimetrii. Dostępny jest on w PRZEDSPRZEDAŻY, ale tylko jako osobny produkt. Kurs ten zostanie dodany do Paczki Kursów Szkoła Średnia gdy będzie w pełni ukończony.
";8;99,00 PLN;https://etrapez.pl/wp-content/uploads/2019/06/wszystkie-kursy-dla-szkol-srednich.jpg
1;Kurs Planimetria (PRZEDSPRZEDAŻ);"
	Kurs Planimetria (PRZEDSPRZEDAŻ) jest multimedialnym kursem edukacyjnym dla uczniów szkół średnich, podzielonym tematycznie w obecnej chwili na 17 Lekcji. NIE jest to jeszcze pełny Kurs omawiający całą planimetrię w szkole średniej.
Kurs w przedsprzedaży nie jest dostępny w żadnej paczce. Można go kupić TYLKO jako osobny produkt za 29zł.
Każda kolejna gotowa lekcja jest udostępniania na bieżąco za darmo wszystkim, którzy kupili już kurs w przedsprzedaży.
Autorką Kursu jest Anna Zalewska.
Zawiera w obecnej chwili ponad 50,5 godzin nagrań video, na których Ania powoli i od podstaw tłumaczy i pokazuje jak rozwiązywać zadania, a także 190 pytań testowych sprawdzających wiedzę i 1074 przykłady do zadań domowych.
";8,11;29,00 PLN;https://etrapez.pl/wp-content/uploads/2021/03/planimetria-przedsprzedaz.png
