ID;Name
3;Szkoła średnia
4;Matura Podstawowa
5;Matura Rozszerzona
6;Kursy Tematyczne
7;Studia
8;Matematyka Dyskretna
9;Analiza
10;Algebra
11;Prawdopodobieństwo, Statystyka, Ekonometria
